SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE
OIL,Oil India Limited,EQ,Bonus 1:2,10,02-Jul-24,02-Jul-24,-,-
GPTINFRA,GPT Infraprojects Limited,EQ,Bonus 1:1,10,03-Jul-24,03-Jul-24,-,-
VERTOZ,Vertoz Limited,EQ,Bonus 1:1,1,05-Jul-24,05-Jul-24,-,-
MMFL,MM Forgings Limited,EQ,Bonus 1:1,10,16-Jul-24,16-Jul-24,-,-
SAKUMA,Sakuma Exports Limited,EQ,Bonus 4:1,1,09-Aug-24,10-Aug-24,-,-
DJML,DJ Mediaprint & Logistics Limited,EQ,Bonus 2:1,10,09-Aug-24,09-Aug-24,-,-
AARTECH,Aartech Solonics Limited,EQ,Bonus 1:2,5,09-Aug-24,09-Aug-24,-,-
GRPLTD,GRP Limited,EQ,Bonus 3:1,10,12-Aug-24,12-Aug-24,-,-
EIHAHOTELS,EIH Associated Hotels Limited,EQ,Bonus 1:1,10,13-Aug-24,13-Aug-24,-,-
CDSL,Central Depository Services (India) Limited,EQ,Bonus 1:1,10,23-Aug-24,24-Aug-24,-,-
VSTIND,VST Industries Limited,EQ,Bonus 10:1,10,06-Sep-24,06-Sep-24,-,-
BIGBLOC,Bigbloc Construction Limited,EQ,Bonus 1:1,2,12-Sep-24,12-Sep-24,-,-
MONARCH,Monarch Networth Capital Limited,EQ,Bonus 1:1,10,13-Sep-24,13-Sep-24,-,-
SAKSOFT,Saksoft Limited,EQ,Bonus 1:4,1,19-Sep-24,19-Sep-24,-,-
AXITA,Axita Cotton Limited,EQ,Bonus 1:3,1,20-Sep-24,20-Sep-24,-,-
UEL,Ujaas Energy Limited,EQ,Bonus 1:4,1,20-Sep-24,20-Sep-24,-,-
RITES,RITES Limited,EQ,Bonus 1:1,10,20-Sep-24,20-Sep-24,-,-
MINDTECK,Mindteck (India) Limited,EQ,Bonus 1:4,10,20-Sep-24,20-Sep-24,-,-
PHOENIXLTD,The Phoenix Mills Limited,EQ,Bonus 1:1,2,20-Sep-24,21-Sep-24,-,-
NDRAUTO,Ndr Auto Components Limited,EQ,Bonus 1:1,10,25-Sep-24,25-Sep-24,-,-
NBCC,NBCC (India) Limited,EQ,Bonus 1:2,1,07-Oct-24,07-Oct-24,-,-
POWERMECH,Power Mech Projects Limited,EQ,Bonus 1:1,10,08-Oct-24,08-Oct-24,-,-
VAISHALI,Vaishali Pharma Limited,EQ,Bonus 1:1,2,15-Oct-24,15-Oct-24,-,-
RELIANCE,Reliance Industries Limited,EQ,Bonus 1:1,10,28-Oct-24,28-Oct-24,-,-
